,Ticker,Model,Test_Accuracy,Test_Precision,Imbalance_Predictions,Imbalance_True,Return_Model,Return_Benchmark,beat
0,SPY,random_forest,0.481456953642384,0.5429590606905489,28.331125827814567,54.3046357615894,-0.01597324892332108,0.18513937168351044,False
1,SPY,svm,0.5430463576158939,0.5430463576158939,100.0,54.3046357615894,0.1773399910630724,0.18513937168351044,False
2,SPY,neural_network,0.5190728476821191,0.5528973649584,66.52980165481567,54.3046357615894,0.1773399910630724,0.18513937168351044,False
3,QQQ,random_forest,0.5035761589403973,0.5349976690041582,59.01986754966888,53.907284768211916,-0.03475491334038405,0.2427239273618989,False
4,QQQ,svm,0.4688741721854305,0.5263157894736842,15.099337748344372,53.907284768211916,-0.27384942458693085,0.2427239273618989,False
5,QQQ,neural_network,0.5270198675496689,0.5426320218325786,80.78145828247071,53.907284768211916,0.2278961426300321,0.2427239273618989,False
6,IWM,random_forest,0.5158940397350993,0.5935570579654554,11.748344370860929,50.59602649006622,-0.021984275965218347,0.048638601074557676,False
7,IWM,svm,0.5218543046357614,0.5302593659942364,45.96026490066225,50.59602649006622,-0.04105363415340646,0.048638601074557676,False
8,IWM,neural_network,0.5060927152317881,0.5188782999652234,45.33774814605713,50.59602649006622,-0.11272308797176545,0.048638601074557676,False
9,VB,random_forest,0.4990728476821191,0.4999252373488744,23.65562913907285,49.93377483443708,0.18460118688344762,0.1052252508856511,True
10,VB,svm,0.5205298013245033,0.5280898876404495,35.36423841059604,49.93377483443708,-0.15586221998378347,0.1052252508856511,False
11,VB,neural_network,0.50317880794702,0.47011466423273307,43.96026575565338,49.93377483443708,0.015629152896774468,0.1052252508856511,False
12,IWC,random_forest,0.5202649006622517,0.5366490806982741,19.894039735099334,49.40397350993378,-0.018183074442498004,0.06695221089388104,False
13,IWC,svm,0.5112582781456955,0.5083333333333332,31.788079470198674,49.40397350993378,-0.19095134274782066,0.06695221089388104,False
14,IWC,neural_network,0.5052980132450331,0.5188848908055872,37.33774845600128,49.40397350993378,-0.32615033516071534,0.06695221089388104,False
15,RZV,random_forest,0.5090066225165563,0.4915024014970838,32.860927152317885,48.60927152317881,0.19997465083197907,0.24915252301264518,False
16,RZV,svm,0.5205298013245033,0.5082508250825083,40.13245033112583,48.60927152317881,0.17703961337454288,0.24915252301264518,False
17,RZV,neural_network,0.5149668874172185,0.5000473018750289,26.649006533622742,48.60927152317881,0.8401002352996609,0.24915252301264518,True
